Question_No,Question,Acceptance,isPremium,Question_Link,Solution,Tags
84, Largest Rectangle in Histogram,45.50%,FALSE,https://leetcode.com/problems/largest-rectangle-in-histogram/description,https://leetcode.com/problems/largest-rectangle-in-histogram/solutions,Hard
85, Maximal Rectangle,51.70%,FALSE,https://leetcode.com/problems/maximal-rectangle/description,https://leetcode.com/problems/maximal-rectangle/solutions,Hard
86, Partition List,57.20%,FALSE,https://leetcode.com/problems/partition-list/description,https://leetcode.com/problems/partition-list/solutions,Edge Case Intensive
87, Scramble String,40.80%,FALSE,https://leetcode.com/problems/scramble-string/description,https://leetcode.com/problems/scramble-string/solutions,Hard
88, Merge Sorted Array,51.00%,FALSE,https://leetcode.com/problems/merge-sorted-array/description,https://leetcode.com/problems/merge-sorted-array/solutions,Easy
88, Merge Sorted Array,51.00%,FALSE,https://leetcode.com/problems/merge-sorted-array/description,https://leetcode.com/problems/merge-sorted-array/solutions,MultiConcept
89, Gray Code,60.10%,FALSE,https://leetcode.com/problems/gray-code/description,https://leetcode.com/problems/gray-code/solutions,Edge Case Intensive
90, Subsets II,58.10%,FALSE,https://leetcode.com/problems/subsets-ii/description,https://leetcode.com/problems/subsets-ii/solutions,Edge Case Intensive
91, Decode Ways,35.50%,FALSE,https://leetcode.com/problems/decode-ways/description,https://leetcode.com/problems/decode-ways/solutions,Tricky
92, Reverse Linked List II,48.30%,FALSE,https://leetcode.com/problems/reverse-linked-list-ii/description,https://leetcode.com/problems/reverse-linked-list-ii/solutions,Edge Case Intensive
93, Restore IP Addresses,51.10%,FALSE,https://leetcode.com/problems/restore-ip-addresses/description,https://leetcode.com/problems/restore-ip-addresses/solutions,Edge Case Intensive
94, Binary Tree Inorder Traversal,77.10%,FALSE,https://leetcode.com/problems/binary-tree-inorder-traversal/description,https://leetcode.com/problems/binary-tree-inorder-traversal/solutions,Easy
95, Unique Binary Search Trees II,58.70%,FALSE,https://leetcode.com/problems/unique-binary-search-trees-ii/description,https://leetcode.com/problems/unique-binary-search-trees-ii/solutions,Edge Case Intensive
96, Unique Binary Search Trees,61.60%,FALSE,https://leetcode.com/problems/unique-binary-search-trees/description,https://leetcode.com/problems/unique-binary-search-trees/solutions,Edge Case Intensive
97, Interleaving String,40.60%,FALSE,https://leetcode.com/problems/interleaving-string/description,https://leetcode.com/problems/interleaving-string/solutions,Edge Case Intensive
98, Validate Binary Search Tree,33.40%,FALSE,https://leetcode.com/problems/validate-binary-search-tree/description,https://leetcode.com/problems/validate-binary-search-tree/solutions,Tricky
99, Recover Binary Search Tree,54.30%,FALSE,https://leetcode.com/problems/recover-binary-search-tree/description,https://leetcode.com/problems/recover-binary-search-tree/solutions,Edge Case Intensive
100, Same Tree,63.30%,FALSE,https://leetcode.com/problems/same-tree/description,https://leetcode.com/problems/same-tree/solutions,Easy
101, Symmetric Tree,57.60%,FALSE,https://leetcode.com/problems/symmetric-tree/description,https://leetcode.com/problems/symmetric-tree/solutions,Easy
102, Binary Tree Level Order Traversal,68.50%,FALSE,https://leetcode.com/problems/binary-tree-level-order-traversal/description,https://leetcode.com/problems/binary-tree-level-order-traversal/solutions,Edge Case Intensive
103, Binary Tree Zigzag Level Order Traversal,60.00%,FALSE,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/solutions,Edge Case Intensive
104, Maximum Depth of Binary Tree,76.10%,FALSE,https://leetcode.com/problems/maximum-depth-of-binary-tree/description,https://leetcode.com/problems/maximum-depth-of-binary-tree/solutions,Easy
105, Construct Binary Tree from Preorder and Inorder Traversal,65.00%,FALSE,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/solutions,Edge Case Intensive
106, Construct Binary Tree from Inorder and Postorder Traversal,64.30%,FALSE,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/solutions,Edge Case Intensive
107, Binary Tree Level Order Traversal II,64.30%,FALSE,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/description,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/solutions,Edge Case Intensive
108, Convert Sorted Array to Binary Search Tree,72.60%,FALSE,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/solutions,Easy
108, Convert Sorted Array to Binary Search Tree,72.60%,FALSE,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/solutions,MultiConcept
109, Convert Sorted List to Binary Search Tree,62.70%,FALSE,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/description,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/solutions,Edge Case Intensive
110, Balanced Binary Tree,53.40%,FALSE,https://leetcode.com/problems/balanced-binary-tree/description,https://leetcode.com/problems/balanced-binary-tree/solutions,Easy
111, Minimum Depth of Binary Tree,48.90%,FALSE,https://leetcode.com/problems/minimum-depth-of-binary-tree/description,https://leetcode.com/problems/minimum-depth-of-binary-tree/solutions,Easy
112, Path Sum,51.40%,FALSE,https://leetcode.com/problems/path-sum/description,https://leetcode.com/problems/path-sum/solutions,Easy
113, Path Sum II,59.20%,FALSE,https://leetcode.com/problems/path-sum-ii/description,https://leetcode.com/problems/path-sum-ii/solutions,Edge Case Intensive
114, Flatten Binary Tree to Linked List,66.40%,FALSE,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/solutions,Edge Case Intensive
115, Distinct Subsequences,48.30%,FALSE,https://leetcode.com/problems/distinct-subsequences/description,https://leetcode.com/problems/distinct-subsequences/solutions,Hard
116, Populating Next Right Pointers in Each Node,63.60%,FALSE,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/solutions,Edge Case Intensive
117, Populating Next Right Pointers in Each Node II,53.60%,FALSE,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/description,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/solutions,Edge Case Intensive
118, Pascal's Triangle,75.40%,FALSE,https://leetcode.com/problems/pascal's-triangle/description,https://leetcode.com/problems/pascal's-triangle/solutions,Easy
119, Pascal's Triangle II,64.70%,FALSE,https://leetcode.com/problems/pascal's-triangle-ii/description,https://leetcode.com/problems/pascal's-triangle-ii/solutions,Easy
120, Triangle,57.70%,FALSE,https://leetcode.com/problems/triangle/description,https://leetcode.com/problems/triangle/solutions,Edge Case Intensive
121, Best Time to Buy and Sell Stock,54.10%,FALSE,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/solutions,Easy
122, Best Time to Buy and Sell Stock II,67.70%,FALSE,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/solutions,Edge Case Intensive
123, Best Time to Buy and Sell Stock III,49.20%,FALSE,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/solutions,Hard
124, Binary Tree Maximum Path Sum,40.40%,FALSE,https://leetcode.com/problems/binary-tree-maximum-path-sum/description,https://leetcode.com/problems/binary-tree-maximum-path-sum/solutions,Hard
125, Valid Palindrome,48.70%,FALSE,https://leetcode.com/problems/valid-palindrome/description,https://leetcode.com/problems/valid-palindrome/solutions,Easy
126, Word Ladder II,27.20%,FALSE,https://leetcode.com/problems/word-ladder-ii/description,https://leetcode.com/problems/word-ladder-ii/solutions,Hard
126, Word Ladder II,27.20%,FALSE,https://leetcode.com/problems/word-ladder-ii/description,https://leetcode.com/problems/word-ladder-ii/solutions,Optimization Required
127, Word Ladder,40.40%,FALSE,https://leetcode.com/problems/word-ladder/description,https://leetcode.com/problems/word-ladder/solutions,Hard
128, Longest Consecutive Sequence,47.50%,FALSE,https://leetcode.com/problems/longest-consecutive-sequence/description,https://leetcode.com/problems/longest-consecutive-sequence/solutions,Edge Case Intensive
129, Sum Root to Leaf Numbers,66.70%,FALSE,https://leetcode.com/problems/sum-root-to-leaf-numbers/description,https://leetcode.com/problems/sum-root-to-leaf-numbers/solutions,Edge Case Intensive
130, Surrounded Regions,40.80%,FALSE,https://leetcode.com/problems/surrounded-regions/description,https://leetcode.com/problems/surrounded-regions/solutions,Edge Case Intensive
131, Palindrome Partitioning,70.30%,FALSE,https://leetcode.com/problems/palindrome-partitioning/description,https://leetcode.com/problems/palindrome-partitioning/solutions,Edge Case Intensive
132, Palindrome Partitioning II,34.30%,FALSE,https://leetcode.com/problems/palindrome-partitioning-ii/description,https://leetcode.com/problems/palindrome-partitioning-ii/solutions,Hard
133, Clone Graph,59.10%,FALSE,https://leetcode.com/problems/clone-graph/description,https://leetcode.com/problems/clone-graph/solutions,Edge Case Intensive
134, Gas Station,45.60%,FALSE,https://leetcode.com/problems/gas-station/description,https://leetcode.com/problems/gas-station/solutions,Edge Case Intensive
135, Candy,43.90%,FALSE,https://leetcode.com/problems/candy/description,https://leetcode.com/problems/candy/solutions,Hard
136, Single Number,74.10%,FALSE,https://leetcode.com/problems/single-number/description,https://leetcode.com/problems/single-number/solutions,Easy
137, Single Number II,63.80%,FALSE,https://leetcode.com/problems/single-number-ii/description,https://leetcode.com/problems/single-number-ii/solutions,Edge Case Intensive
138, Copy List with Random Pointer,57.60%,FALSE,https://leetcode.com/problems/copy-list-with-random-pointer/description,https://leetcode.com/problems/copy-list-with-random-pointer/solutions,Edge Case Intensive
139, Word Break,47.20%,FALSE,https://leetcode.com/problems/word-break/description,https://leetcode.com/problems/word-break/solutions,Edge Case Intensive
140, Word Break II,51.70%,FALSE,https://leetcode.com/problems/word-break-ii/description,https://leetcode.com/problems/word-break-ii/solutions,Hard
141, Linked List Cycle,51.10%,FALSE,https://leetcode.com/problems/linked-list-cycle/description,https://leetcode.com/problems/linked-list-cycle/solutions,Easy
142, Linked List Cycle II,52.60%,FALSE,https://leetcode.com/problems/linked-list-cycle-ii/description,https://leetcode.com/problems/linked-list-cycle-ii/solutions,Edge Case Intensive
143, Reorder List,60.10%,FALSE,https://leetcode.com/problems/reorder-list/description,https://leetcode.com/problems/reorder-list/solutions,Edge Case Intensive
144, Binary Tree Preorder Traversal,70.80%,FALSE,https://leetcode.com/problems/binary-tree-preorder-traversal/description,https://leetcode.com/problems/binary-tree-preorder-traversal/solutions,Easy
145, Binary Tree Postorder Traversal,73.50%,FALSE,https://leetcode.com/problems/binary-tree-postorder-traversal/description,https://leetcode.com/problems/binary-tree-postorder-traversal/solutions,Easy
146, LRU Cache,43.30%,FALSE,https://leetcode.com/problems/lru-cache/description,https://leetcode.com/problems/lru-cache/solutions,Edge Case Intensive
147, Insertion Sort List,54.60%,FALSE,https://leetcode.com/problems/insertion-sort-list/description,https://leetcode.com/problems/insertion-sort-list/solutions,Edge Case Intensive
148, Sort List,59.50%,FALSE,https://leetcode.com/problems/sort-list/description,https://leetcode.com/problems/sort-list/solutions,Edge Case Intensive
149, Max Points on a Line,27.50%,FALSE,https://leetcode.com/problems/max-points-on-a-line/description,https://leetcode.com/problems/max-points-on-a-line/solutions,Hard
149, Max Points on a Line,27.50%,FALSE,https://leetcode.com/problems/max-points-on-a-line/description,https://leetcode.com/problems/max-points-on-a-line/solutions,Optimization Required
150, Evaluate Reverse Polish Notation,52.70%,FALSE,https://leetcode.com/problems/evaluate-reverse-polish-notation/description,https://leetcode.com/problems/evaluate-reverse-polish-notation/solutions,Edge Case Intensive
151, Reverse Words in a String,46.30%,FALSE,https://leetcode.com/problems/reverse-words-in-a-string/description,https://leetcode.com/problems/reverse-words-in-a-string/solutions,Edge Case Intensive
152, Maximum Product Subarray,33.90%,FALSE,https://leetcode.com/problems/maximum-product-subarray/description,https://leetcode.com/problems/maximum-product-subarray/solutions,Tricky
153, Find Minimum in Rotated Sorted Array,51.30%,FALSE,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/solutions,Edge Case Intensive
153, Find Minimum in Rotated Sorted Array,51.30%,FALSE,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/solutions,MultiConcept
